animal	inoculation_date
CA1	2020-08-25
CA3	2020-08-25
CA5	2020-08-25
CB1	2020-08-25
CB2	2020-08-25
CC1	2020-08-25
CC2	2020-08-25
CD1	2020-08-25
CE2	2020-08-25
CE3	2020-08-25
CF1	2020-08-25
CG1	2020-08-25
CG2	2020-08-25
CG3	2020-08-25
CH1	2020-08-25
CH2	2020-08-25
CH3	2020-08-25
CI4	2020-08-25
CI5	2020-08-25
CJ1	2020-08-25
CK2	2020-08-25
CL2	2020-08-25
CM2	2020-08-25
CN1	2020-08-25
CO1	2020-08-25
CO2	2020-08-25
CO3	2020-08-25
CP1	2020-08-25
CQ3	2020-08-25
CQ4	2020-08-25
CQ5	2020-08-25